"configuration","problem","model","data_file","status","time","variables","intVars","flatIntVars","failures","nSolutions","peakMem","solveTime","blockType","optTime","nodes","unifiedVariables","boolVariables","nogoods","restarts","solutions","run","trailMem","paths","propagations","randomSeed","backjumps","extractedViews","intVariables","userDecisions","flatTime","flatBoolVars","evaluatedHalfReifiedConstraints","oracleDecisions","method","flatBoolConstraints","baseMem","propagators","peakDepth","initTime","flatIntConstraints","evaluatedReifiedConstraints","objective"
"chuffed","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.3698283843696","15758","111","112","7674825","2","0.0","1199.752","","1.469","51970387","","15645","7674825","2","","results","0.05","0","7383528035","2112799452","44295387","","","","0.246453","2424","","","minimize","606","0.0","4936","87","0.04","2503","2424","10"
"Huub_free","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.762695113196969","","","77","21","2","","0.010963","complete","","","0","","","0","","results","","0","16359","","","8","69","182","0.272358","1344","1344","3432","minimize","336","","1391","1780","0.020192","1399","","17"
"chuffed","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.4971586242318153","3424","27","28","6","1","0.0","0.006","","0.006","47","","3395","6","1","","results","0.0","0","881","-316240664","21","","","","0.269339","80","","","minimize","20","0.0","177","20","0.014","93","80","4"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","262.96523490920663","","","73","3344522","70","","260.878447","complete","","","0","","","0","","results","","0","548206316","","","8","65","0","0.509742","1456","1456","3711166","minimize","608","","1521","1840","0.024716","1529","","32"
"gecode","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.4665726777166128","84","","52","6","1","","0.004643","","","46","","","","0","1","results","","0","446","","","","","","0.156752","","","","minimize","","","39","45","0.001326","36","","18"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.44893165305256844","","","48","169","3","","0.017233","complete","","","0","","","0","","results","","0","29027","","","1","24","678","0.184682","508","508","1773","minimize","127","","531","632","0.010738","532","","11"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","178.22673791646957","","","105","1945689","4","","177.595016","complete","","","0","","","0","","results","","0","294829811","","","8","97","2941861","0.256417","2432","2432","7034","minimize","608","","2497","3070","0.032228","2505","","11"
"chuffed","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.5298436507582664","11546","83","84","30","3","0.0","0.013","","0.012","410","","11461","30","3","","results","0.04","0","42455","-1686248985","239","","","","0.318054","1344","","","minimize","336","0.0","2758","57","0.033","1405","1344","18"
"gecode","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","0.6022387836128473","101","","35","5","1","","0.005665","","","35","","","","0","1","results","","0","902","","","","","","0.190523","","","","minimize","","","38","33","0.000668","36","","35"
"chuffed","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.3009873442352","15598","111","112","9412848","1","0.0","1199.643","","0.088","15147649","","15485","9412848","1","","results","0.05","0","1947501630","1852808014","5734694","","","","0.35277","2424","","","minimize","606","0.0","4936","76","0.039","2503","2424","16"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","461.3059114385396","","","105","6654777","88","","460.65112","complete","","","0","","","0","","results","","0","596486178","","","8","97","0","0.328494","2432","2432","7861380","minimize","608","","2497","3250","0.034762","2505","","14"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.885375939309597","","","33","687","3","","0.028259","complete","","","0","","","0","","results","","0","60038","","","1","24","793","0.246095","310","310","990","minimize","127","","333","357","0.009341","334","","15"
"chuffed","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","1.049195807427168","7832","52","51","15909","1","0.0","0.543","","0.541","70441","","7778","15909","1","","results","0.02","0","6062875","-235304518","54486","","","","0.198068","754","","","minimize","241","0.0","1543","46","0.015","787","754","18"
"Huub_free","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","34.199547136202455","","","105","441306","12","","33.622851","complete","","","0","","","9911","","results","","0","128550495","","","8","97","868304","0.265626","2432","2432","398882","minimize","608","","2497","3180","0.034158","2505","","10"
"chuffed","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.6504946071654558","5292","33","32","434","3","0.0","0.015","","0.008","735","","5257","434","3","","results","0.01","0","114664","-1293532698","213","","","","0.365447","310","","","minimize","127","0.0","645","32","0.011","333","310","15"
