"configuration","problem","model","data_file","status","time","paths","restarts","unifiedVariables","evaluatedHalfReifiedConstraints","propagators","peakDepth","run","flatBoolConstraints","flatBoolVars","flatIntConstraints","initTime","objective","flatTime","intVariables","flatIntVars","method","extractedViews","propagations","solveTime","nSolutions","failures","blockType","oracleDecisions","userDecisions"
"Huub_user_diffn","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.5350427515805","0","0","0","","67","83","results_filter","","","75","0.007247","11","0.214728","97","105","minimize","8","91108579","1199.77741","3","8643669","complete","0","29620811"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.9342370172962546","0","5","0","","33","52","results_filter","","","37","0.007236","15","0.178617","45","61","minimize","4","11959","0.043446","2","859","complete","277","3211"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.6237739017233253","0","0","0","","11","20","results_filter","","","14","0.004589","4","0.161814","18","26","minimize","3","95","0.00352","1","7","complete","0","32"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","58.899462757632136","0","0","0","","35","34","results_filter","","","36","0.00575","35","0.184067","34","35","minimize","1","1567429","58.3843","6","237797","complete","0","238341"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.283838489093","0","117205","0","","67","89","results_filter","","","75","0.008297","34","0.17047","49","57","minimize","8","66399001","1199.832634","1","3632051","complete","2893462","3342749"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.7834780924022198","0","0","0","","33","37","results_filter","","","37","0.007243","18","0.168912","29","49","minimize","4","197210","0.36755","4","9982","complete","0","32278"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","110.25162214972079","0","14058","0","","35","72","results_filter","","","36","0.006351","35","0.172231","34","35","minimize","1","4985046","109.788496","6","439316","complete","287024","305884"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.8202511724084616","0","0","0","","33","37","results_filter","","","37","0.006007","18","0.16777","29","49","minimize","4","205355","0.405241","4","10028","complete","0","33582"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.7828997550532222","0","0","0","80","89","111","results_filter","20","80","92","0.007329","4","0.179278","18","26","minimize","3","607","0.004116","1","7","complete","91","32"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","46.15084661450237","0","0","0","","67","60","results_filter","","","75","0.007464","32","0.234668","65","73","minimize","8","2260729","45.174223","1","334746","complete","0","338625"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.7054975451901555","0","0","0","","25","39","results_filter","","","26","0.005584","10","0.191184","32","48","minimize","1","5746","0.032526","3","486","complete","0","2299"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.8857217831537127","0","15","0","","33","68","results_filter","","","37","0.005883","15","0.170404","45","61","minimize","4","12179","0.042028","2","840","complete","436","2759"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.7146079353988171","0","0","0","754","787","130","results_filter","241","754","788","0.013752","19","0.205167","34","52","minimize","1","1114072","0.260871","12","5794","complete","1041","16831"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5193597804754972","0","40","0","","25","27","results_filter","","","26","0.006294","15","0.210305","24","33","minimize","1","8275","0.023513","3","746","complete","266","809"
