"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","734.0178920794278","","","","34300","","","","","results_prod_shelf_new","1000","0","134704904","","6100","13.8402","","","","","","13","13720","160760","","minimize","","713.761","","","147000","13","159615","25845","","8","","","","","161947"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.467346161604","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","87374369","","30200","5.33306","","","8481","35000","30197","","102200","83200","","minimize","","1193.388568","","","","","","137763","complete","0","2189131","","","1.397783","79145"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","3.670991523191333","3028","","0","2250","0","","","0","results_prod_shelf_new","250","0","978311","","1550","0.311756","","","3567","1750","1547","S(9)","4550","3800","","minimize","","3.091736","","","","","","7572","complete","2","72151","","","0.058608","3779"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","UNKNOWN","1201.0350949233398","28443","","0","21000","0","","","0","results_prod_shelf_new","2250","0","58119249","","13650","2.25745","","","25584","15750","13647","","43050","35550","","minimize","","1197.053357","","","","","","86413","complete","0","3259561","","","0.734845","34444"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1201.1028769640252","31091","","0","22200","0","","","0","results_prod_shelf_new","2250","0","417510048","","13650","2.28538","","","5415","15750","13647","","46410","37710","","minimize","","1197.180523","","","","","","683503","complete","0","2796422","","","0.567267","35892"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.3857110617682","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","63752548","","13650","2.42211","","","10126","15750","13647","","45150","36900","","minimize","","1197.017215","","","","","","347512","complete","0","6317000","","","0.611326","35349"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","12.071995711885393","","","","5350","","","","","results_prod_shelf_new","250","0","15368168","","1550","1.6504","","","","","","6","3290","21320","","minimize","","9.56109","","","18000","6","21661","5845","","5","","","","","21671"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.3448570985347","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","80228454","","13650","2.39325","","","12621","15750","13647","S(22)","45150","36900","","minimize","","1197.031862","","","","","","42520","complete","7","4092673","","","0.609604","35349"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.009138460271","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","72842299","","13650","2.32448","","","12689","15750","13647","S(13)","45150","36900","","minimize","","1197.09396","","","","","","131032","complete","4","3738477","","","0.611488","35349"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","UNKNOWN","1203.2226830497384","","","","34000","","","","","results_prod_shelf_new","1000","0","","","6100","13.0393","","","","","","","13300","160400","","minimize","","","","","147000","","","","","0","","","","","161644"
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","UNKNOWN","1204.484920966439","","","","29500","","","","","results_prod_shelf_new","1000","0","","","6100","12.7128","","","","","","","7000","155000","","minimize","","","","","147000","","","","","0","","","","","158004"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","44.71211845241487","","","","5010","","","","","results_prod_shelf_new","240","0","64346459","","1488","1.48361","","","","","","5","3150","19740","","minimize","","42.4183","","","16560","5","20433","89566","","6","","","","","20078"
