"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_s+o","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.7471540467813611","0.003762","6","26","44","0","0.004352","20","0","14","0","","1","134","results_free_filter","11","14","minimize","0.205945","18","","0","","3","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_2_2.dzn","OPTIMAL_SOLUTION","523.2580934558064","522.462593","18","105","2897879","0","0.032606","3116","2237591","2505","123653","2432","35","641906866","results_free_filter","2497","2581669","minimize","0.24571","49","2432","0","608","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.2119672475382686","0.049914","18","77","903","0","0.006169","57","0","57","0","","3","3055","results_free_filter","49","113","minimize","0.246304","35","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","104.316560854204","103.936685","11","105","1326151","0","0.006982","197","544333","75","19017","","3","8041834","results_free_filter","67","612371","minimize","0.159237","97","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5842437138780951","0.016317","17","77","180","0","0.008308","67","0","57","0","","2","772","results_free_filter","49","19","minimize","0.172609","69","","0","","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5685150418430567","0.080024","18","25","2159","0","0.005082","24","239","26","32","","1","21452","results_free_filter","25","2210","minimize","0.170428","24","","0","","1","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.7471260987222195","0.003567","4","26","32","0","0.004669","20","0","14","0","","1","95","results_free_filter","11","7","minimize","0.166984","18","","0","","3","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","220.32777272723615","219.276756","32","73","1775387","0","0.02333","1616","1248072","1529","63163","1456","1","605218926","results_free_filter","1521","1518499","minimize","0.255485","65","1456","0","608","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","39.03508476912975","38.183342","10","105","444384","0","0.007221","237","215113","75","5857","","4","2987668","results_free_filter","67","250792","minimize","0.163241","97","","0","","8","complete"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.7111725714057684","1.009042","28","43","9372","0","0.005607","35","8479","57","669","","1","173863","results_free_filter","49","8524","minimize","0.20458","35","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","103.49181753769517","103.057868","16","105","1112231","0","0.007006","183","509844","75","20285","","3","10628635","results_free_filter","67","755090","minimize","0.176945","65","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.8124393783509731","0.036413","16","49","2214","0","0.012268","738","3614","635","3","600","5","155512","results_free_filter","631","590","minimize","0.194971","45","600","0","180","4","complete"
