"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","27.289032043889165","119","6980548","26.031213","16380","satisfy","15498","5905","447","0","results_free_rect","42","4956","1","16839","121105","103","84","4181","complete","0","10584","154704","0.592337","63160","0.15817"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","14.740106082521379","1873","2750319","12.541788","32724","satisfy","31266","11593","649","0","results_free_rect","54","10044","1","33385","38368","139","108","1223","complete","0","21276","47930","1.17888","23977","0.325157"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","23.54946445580572","5769","5878521","22.256459","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","78768","109","88","5199","complete","0","12276","108629","0.659115","87795","0.182842"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","207.3289877101779","1062","40080745","206.015668","21022","satisfy","19964","7527","511","0","results_free_rect","46","6394","1","21545","625149","115","92","13217","complete","0","13616","882642","0.705842","425138","0.197019"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.6676837503910065","5180","561842","0.482908","14620","satisfy","14580","5283","1179","0","results_free_rect","40","4610","1","15812","2444","97","840","27","complete","0","9440","3784","0.582058","12082","0.153567"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5070659620687366","65","162051","0.525177","13140","satisfy","12420","4759","393","0","results_free_rect","40","3980","1","13545","2606","93","80","27","complete","0","8480","3446","0.509433","1109","0.128902"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.9909333819523454","75","204467","0.771547","17138","satisfy","16258","6161","453","0","results_free_rect","44","5214","1","17603","2587","105","88","83","complete","0","11088","4252","0.602698","2454","0.165388"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4026645990088582","66","166537","0.506362","12502","satisfy","11780","4543","387","0","results_free_rect","38","3762","1","12901","2606","91","76","27","complete","0","8056","3492","0.446645","1166","0.125613"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","4.605767915025353","1536","2464721","2.743773","27456","satisfy","27508","9755","1883","0","results_free_rect","52","8749","1","29351","9964","129","1404","203","complete","0","17836","14723","1.03626","8014","0.28206"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8179250424727798","2548","69320","0.156323","8517","satisfy","8007","3124","312","0","results_free_rect","34","2567","1","8841","1307","75","68","86","complete","0","5474","1606","0.331389","3096","0.084993"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","4.970408286899328","2934","1347984","4.189964","9738","satisfy","9162","3561","335","0","results_free_rect","36","2934","1","10085","26251","81","72","871","complete","0","6264","30302","0.365339","11845","0.096451"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.6380808157846332","5501","574912","0.504706","15330","satisfy","15372","5523","1265","0","results_free_rect","42","4872","1","16608","2443","99","924","27","complete","0","9912","3828","0.591507","12829","0.160177"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","2.041778575628996","76","205928","0.837786","17138","satisfy","16258","6161","453","0","results_free_rect","44","5214","1","17603","2587","105","88","83","complete","0","11088","4252","0.604686","2455","0.168042"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","47.87868684437126","1124","10732200","46.389704","21912","satisfy","20856","7827","517","0","results_free_rect","48","6696","1","22441","152425","117","96","6041","complete","0","14208","201097","0.740991","124771","0.218455"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.7224738216027617","270","599375","1.916473","11016","satisfy","10368","4015","362","0","results_free_rect","36","3312","1","11390","10237","85","72","291","complete","0","7092","14320","0.408652","5616","0.110911"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8413265626877546","3189","184817","0.139071","8517","satisfy","8551","3124","852","0","results_free_rect","34","2703","1","9384","1307","75","612","86","complete","0","5474","1606","0.354982","3737","0.090859"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.9609259171411395","74","204507","0.779283","17138","satisfy","16258","6161","453","0","results_free_rect","44","5214","1","17603","2587","105","88","83","complete","0","11088","4252","0.607067","2453","0.164673"
