"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.7970219310373068","","0.366754","115081","0","","852","2703","","8551","","612","8517","0","","34","0","","complete","results_all","1","","","5474","","4069","","9384","","3124","","","3293","0","0.059647","","75","satisfy","549","0.088864"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","24.33555695414543","","0.58079","22938853","0","","1179","4610","","14580","","840","14620","0","","40","0","","complete","results_all","1","","","9440","","92","","15812","","5283","","","114","145417","23.228303","","97","satisfy","145123","0.152954"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.5060879904776812","","0.53471","731492","0","","1069","3933","","12464","","760","12502","39","","38","0","","complete","results_all","1","","","8056","","1472","","13584","","4543","","","189","2723","0.508683","","91","satisfy","3713","0.130507"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.4810498263686895","","0.091518","5893822","0","253","341","114","","152","1","152","","0","","76","","276878","","results_all","1","","","","","","","225","","97","","","38","","4.22733","","","satisfy","138426","0.002091"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.7482231091707945","22672","0.116364","8418511","0","9324","1313","272","0.02","714","","68","","0","680","34","","23374","","results_all","1","175567818","","612","0.0","","","744","0.0","85","9219","103","21","","1.402","","","satisfy","22672","0.02"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.2387106511742","7383916","0.137243","4915251096","0","29784","3399","602","0.05","1792","","112","","0","206421","56","","7590349","","results_all","0","173434916","","1624","0.0","","","1842","0.0","147","29606","176","16","","1199.86","","","satisfy","7383916","0.047"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.2501450423151","7107520","0.144797","3771518334","0","26022","2947","533","0.05","1560","","104","","0","338286","52","","7445816","","results_all","0","-1966207066","","1404","0.0","","","1606","0.0","135","25858","162","17","","1199.852","","","satisfy","7107520","0.041"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","42.92118087224662","","0.094795","43906128","0","267","359","120","","160","1","160","","0","","80","","2772093","","results_all","1","","","","","","","237","","103","","","51","","42.6703","","","satisfy","1386014","0.002067"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","5.091218780726194","","0.094478","5502465","0","239","323","108","","144","1","144","","0","","72","","347151","","results_all","1","","","","","","","213","","91","","","47","","4.86144","","","satisfy","173558","0.002025"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","189.74421492777765","","1.18458","152328108","0","","2166","10822","","33964","","1624","33908","17607","","56","0","","complete","results_all","1","","","22064","","445842","","36086","","11991","","","1917","490337","187.440587","","141","satisfy","662980","0.355942"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.712981894612312","","0.546673","4736890","0","","1151","4170","","13180","","840","13140","0","","40","0","","complete","results_all","1","","","8480","","70","","14304","","4759","","","91","25380","3.636088","","93","satisfy","25273","0.140739"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.1577276103199","","0.102663","1113121681","0","401","537","180","","240","0","240","","0","","120","","51322938","","results_all","0","","","","","","","355","","159","","","61","","1199.9","","","satisfy","25661464","0.002917"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","SATISFIED","0.22792337089776993","","0.084871","4480","0","95","139","46","","62","1","62","","0","","31","","68","","results_all","1","","","","","","","91","","31","","","14","","0.004118","","","satisfy","28","0.001089"
